Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein Description,TurboID avg abundance,tdT avg abundance,Differentially Expressed?,logFC (TurboID vs. tdT),P.Value (TurboID vs. tdT),adj.P.Value (TurboID vs. tdT)
Txndc16,TXNDC16,Q7TN22,TXD16_MOUSE,Thioredoxin domain-containing protein 16,1924,1179,No,2.36,0.48879,0.57910
Plcb1,PLCB1,Q9Z1B3,PLCB1_MOUSE,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",73028,68709,No,0.10,0.49034,0.58079
Tcof1,TCOF1,O08784,TCOF_MOUSE,Treacle protein,867,12715,No,-2.87,0.49046,0.58079
Ppp2r5b,PPP2R5B,Q6PD28,2A5B_MOUSE,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform,4398,4664,No,-0.08,0.49067,0.58089
Psmb6,PSMB6,Q60692,PSB6_MOUSE,Proteasome subunit beta type-6,25724,28359,No,-0.16,0.49092,0.58091
Prkcg,PRKCG,P63318,KPCG_MOUSE,Protein kinase C gamma type,138071,125462,No,0.14,0.49094,0.58091
Septin7,NA,O55131,SEPT7_MOUSE,Septin-7,177478,168320,No,0.08,0.49163,0.58158
Aldh18a1,ALDH18A1,Q9Z110,P5CS_MOUSE,Delta-1-pyrroline-5-carboxylate synthase,8598,7533,No,0.18,0.49184,0.58168
Bola2,BOLA2,Q8BGS2,BOLA2_MOUSE,BolA-like protein 2,6048,5608,No,0.12,0.49251,0.58233
Apeh,APEH,Q8R146,APEH_MOUSE,Acylamino-acid-releasing enzyme,5873,5281,No,0.14,0.49332,0.58300
Rpl37a,RPL37A,P61514,RL37A_MOUSE,60S ribosomal protein L37a,10171,9329,No,0.13,0.49333,0.58300
Bcap31,BCAP31,Q61335,BAP31_MOUSE,B-cell receptor-associated protein 31,6285,6848,No,-0.12,0.49400,0.58365
Eif3d,EIF3D,O70194,EIF3D_MOUSE,Eukaryotic translation initiation factor 3 subunit D,8733,8203,No,0.12,0.49421,0.58375
Smg5,SMG5,Q6ZPY2,SMG5_MOUSE,Protein SMG5,1464,870,No,2.24,0.49451,0.58395
Cst3,CST3,P21460,CYTC_MOUSE,Cystatin-C,22921,25341,No,-0.19,0.49471,0.58399
Snd1,SND1,Q78PY7,SND1_MOUSE,Staphylococcal nuclease domain-containing protein 1,9352,10466,No,-0.17,0.49479,0.58399
Atl1,ATL1,Q8BH66,ATLA1_MOUSE,Atlastin-1,37297,41245,No,-0.17,0.49510,0.58421
Gcdh,GCDH,Q60759,GCDH_MOUSE,"Glutaryl-CoA dehydrogenase, mitochondrial",7704,8667,No,-0.19,0.49596,0.58500
Myh9,MYH9,Q8VDD5,MYH9_MOUSE,Myosin-9,11517,10846,No,0.08,0.49620,0.58500
Nbea,NBEA,Q9EPN1,NBEA_MOUSE,Neurobeachin,27176,25506,No,0.11,0.49623,0.58500
Gdpgp1,GDPGP1,Q3TLS3,GDPP1_MOUSE,GDP-D-glucose phosphorylase 1,2862,2835,No,-1.88,0.49627,0.58500
Nwd2,NWD2,Q6P5U7,NWD2_MOUSE,NACHT and WD repeat domain-containing protein 2,9356,8811,No,0.11,0.49771,0.58655
Lsm12,LSM12,Q9D0R8,LSM12_MOUSE,Protein LSM12 homolog,4683,5183,No,-0.15,0.49996,0.58894
Rala,RALA,P63321,RALA_MOUSE,Ras-related protein Ral-A,21231,22885,No,-0.11,0.49999,0.58894
Coa7,COA7,Q921H9,COA7_MOUSE,Cytochrome c oxidase assembly factor 7,3827,3749,No,-1.93,0.50020,0.58904
Clcn2,CLCN2,Q9R0A1,CLCN2_MOUSE,Chloride channel protein 2,4952,4608,No,0.16,0.50092,0.58973
Mpc1,MPC1,P63030,MPC1_MOUSE,Mitochondrial pyruvate carrier 1,39213,34354,No,0.21,0.50151,0.59028
Erlec1,ERLEC1,Q8VEH8,ERLEC_MOUSE,Endoplasmic reticulum lectin 1,2758,2459,No,0.26,0.50235,0.59112
Capn5,CAPN5,O08688,CAN5_MOUSE,Calpain-5,7443,8056,No,-0.14,0.50374,0.59260
Mycbp2,MYCBP2,Q7TPH6,MYCB2_MOUSE,E3 ubiquitin-protein ligase MYCBP2,5881,5547,No,0.10,0.50395,0.59271
Asb6,ASB6,Q91ZU1,ASB6_MOUSE,Ankyrin repeat and SOCS box protein 6,17130,15671,No,-2.25,0.50456,0.59322
Prdx4,PRDX4,O08807,PRDX4_MOUSE,Peroxiredoxin-4,46202,49310,No,-0.11,0.50464,0.59322
Kbtbd3,KBTBD3,Q8BHI4,KBTB3_MOUSE,Kelch repeat and BTB domain-containing protein 3,3052,3067,No,-1.86,0.50573,0.59434
Vars1,NA,Q9Z1Q9,SYVC_MOUSE,Valine--tRNA ligase,23252,20983,No,0.16,0.50624,0.59480
Clvs1,CLVS1,Q9D4C9,CLVS1_MOUSE,Clavesin-1,4918,4508,No,0.13,0.50650,0.59496
Erlin2,ERLIN2,Q8BFZ9,ERLN2_MOUSE,Erlin-2,15868,14883,No,0.08,0.50789,0.59637
Hnrnpul1,HNRNPUL1,Q8VDM6,HNRL1_MOUSE,Heterogeneous nuclear ribonucleoprotein U-like protein 1,3626,4010,No,-0.15,0.50796,0.59637
Hnrnpk,HNRNPK,P61979,HNRPK_MOUSE,Heterogeneous nuclear ribonucleoprotein K,35884,32267,No,0.13,0.50853,0.59683
Cpped1,CPPED1,Q8BFS6,CPPED_MOUSE,Serine/threonine-protein phosphatase CPPED1,3180,2996,No,0.14,0.50861,0.59683
Hsd17b8,NA,P50171,DHB8_MOUSE,(3R)-3-hydroxyacyl-CoA dehydrogenase,5605,6159,No,-0.14,0.50957,0.59781
Htt,HTT,P42859,HD_MOUSE,Huntingtin,13270,12329,No,0.14,0.51071,0.59899
Rock1,ROCK1,P70335,ROCK1_MOUSE,Rho-associated protein kinase 1,2211,1413,No,2.29,0.51094,0.59906
Wdr47,WDR47,Q8CGF6,WDR47_MOUSE,WD repeat-containing protein 47,17009,15842,No,0.10,0.51102,0.59906
Ranbp6,RANBP6,Q8BIV3,RNBP6_MOUSE,Ran-binding protein 6,2958,3393,No,-0.15,0.51119,0.59911
Ppp2r2b,PPP2R2B,Q6ZWR4,2ABB_MOUSE,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform,2169,1399,No,2.28,0.51148,0.59930
Mtpn,MTPN,P62774,MTPN_MOUSE,Myotrophin,6320,8246,No,-0.48,0.51165,0.59934
Macroh2a2,NA,Q8CCK0,H2AW_MOUSE,Core histone macro-H2A.2,4164,3586,No,-1.88,0.51330,0.60113
Lamc1,LAMC1,P02468,LAMC1_MOUSE,Laminin subunit gamma-1,2476,2275,No,-1.77,0.51383,0.60160
Pcnx3,PCNX3,Q8VI59,PCX3_MOUSE,Pecanex-like protein 3,2262,1462,No,2.28,0.51529,0.60315
Dnmt1,DNMT1,P13864,DNMT1_MOUSE,DNA (cytosine-5)-methyltransferase 1,6238,5747,No,-1.97,0.51549,0.60323
Gstm6,NA,O35660,GSTM6_MOUSE,Glutathione S-transferase Mu 6,179570,159420,No,-2.72,0.51630,0.60392
Synpr,SYNPR,Q8BGN8,SYNPR_MOUSE,Synaptoporin,28532,34005,No,-0.18,0.51633,0.60392
Prpf6,PRPF6,Q91YR7,PRP6_MOUSE,Pre-mRNA-processing factor 6,3017,3624,No,-0.25,0.51742,0.60504
Txnrd1,TXNRD1,Q9JMH6,TRXR1_MOUSE,"Thioredoxin reductase 1, cytoplasmic",19917,18489,No,0.10,0.51806,0.60563
Wdr82,WDR82,Q8BFQ4,WDR82_MOUSE,WD repeat-containing protein 82,4741,4563,No,-1.89,0.51978,0.60749
Gstk1,GSTK1,Q9DCM2,GSTK1_MOUSE,Glutathione S-transferase kappa 1,3231,2901,No,-1.80,0.51996,0.60755
Rbm17,RBM17,Q8JZX4,SPF45_MOUSE,Splicing factor 45,1870,1222,No,2.19,0.52034,0.60784
Iba57,IBA57,Q8CAK1,CAF17_MOUSE,"Putative transferase CAF17 homolog, mitochondrial",3604,3262,No,-1.82,0.52113,0.60861
Hnmt,HNMT,Q91VF2,HNMT_MOUSE,Histamine N-methyltransferase,5282,4740,No,-1.91,0.52143,0.60881
Cntn3,CNTN3,Q07409,CNTN3_MOUSE,Contactin-3,1917,1762,No,-1.68,0.52220,0.60931
Kcnh7,KCNH7,Q9ER47,KCNH7_MOUSE,Potassium voltage-gated channel subfamily H member 7,1470,1009,No,2.12,0.52224,0.60931
Frrs1l,FRRS1L,B1AXV0,FRS1L_MOUSE,DOMON domain-containing protein FRRS1L,8767,7738,No,0.16,0.52225,0.60931
Plxnb2,PLXNB2,B2RXS4,PLXB2_MOUSE,Plexin-B2,7716,8256,No,-0.09,0.52385,0.61102
Ap3b2,AP3B2,Q9JME5,AP3B2_MOUSE,AP-3 complex subunit beta-2,24394,21888,No,0.13,0.52463,0.61178
Atp11b,ATP11B,Q6DFW5,AT11B_MOUSE,Phospholipid-transporting ATPase IF,36111,34155,No,0.08,0.52488,0.61192
Tmem135,TMEM135,Q9CYV5,TM135_MOUSE,Transmembrane protein 135,5720,3732,No,2.49,0.52657,0.61374
Cse1l,CSE1L,Q9ERK4,XPO2_MOUSE,Exportin-2,15615,17329,No,-0.18,0.52902,0.61644
Sarm1,SARM1,Q6PDS3,SARM1_MOUSE,NAD(+) hydrolase SARM1,8074,7309,No,0.13,0.52946,0.61680
Slc7a3,SLC7A3,P70423,CTR3_MOUSE,Cationic amino acid transporter 3,4144,2789,No,2.38,0.52963,0.61684
Parp1,PARP1,P11103,PARP1_MOUSE,Poly [ADP-ribose] polymerase 1,2581,1872,No,2.24,0.52992,0.61703
Cenpv,CENPV,Q9CXS4,CENPV_MOUSE,Centromere protein V,19760,21276,No,-0.12,0.53029,0.61731
Uqcrfs1,UQCRFS1,Q9CR68,UCRI_MOUSE,"Cytochrome b-c1 complex subunit Rieske, mitochondrial",105890,115399,No,-0.17,0.53109,0.61808
Plxna4,PLXNA4,Q80UG2,PLXA4_MOUSE,Plexin-A4,24366,22664,No,0.11,0.53187,0.61883
Nudt16l1,NUDT16L1,Q8VHN8,TIRR_MOUSE,Tudor-interacting repair regulator protein,1665,1467,No,-1.60,0.53267,0.61961
Mpv17,MPV17,P19258,MPV17_MOUSE,Protein Mpv17,6088,6235,No,0.28,0.53533,0.62248
Pgam5,PGAM5,Q8BX10,PGAM5_MOUSE,"Serine/threonine-protein phosphatase PGAM5, mitochondrial",11111,9419,No,0.18,0.53547,0.62248
Arfgef2,ARFGEF2,A2A5R2,BIG2_MOUSE,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,8222,7596,No,0.13,0.53554,0.62248
Gpr89,NA,Q8BS95,GPHR_MOUSE,Golgi pH regulator,2494,2919,No,-0.18,0.53575,0.62257
Prss33,PRSS33,Q80WM7,PRS33_MOUSE,Serine protease 33,16829,18467,No,-0.21,0.53674,0.62357
Usp14,USP14,Q9JMA1,UBP14_MOUSE,Ubiquitin carboxyl-terminal hydrolase 14,8631,9574,No,-0.14,0.53747,0.62421
Impdh2,IMPDH2,P24547,IMDH2_MOUSE,Inosine-5'-monophosphate dehydrogenase 2,5205,5583,No,-0.10,0.53756,0.62421
Atp1b3,ATP1B3,P97370,AT1B3_MOUSE,Sodium/potassium-transporting ATPase subunit beta-3,14002,13159,No,0.11,0.53811,0.62438
Arf6,ARF6,P62331,ARF6_MOUSE,ADP-ribosylation factor 6,17802,16129,No,0.14,0.53813,0.62438
Syn3,SYN3,Q8JZP2,SYN3_MOUSE,Synapsin-3,18641,17218,No,0.13,0.53822,0.62438
Mrps5,MRPS5,Q99N87,RT05_MOUSE,"28S ribosomal protein S5, mitochondrial",5224,4427,No,-1.82,0.53832,0.62438
Fhip2a,NA,Q8CDM8,FHI2A_MOUSE,FHF complex subunit HOOK interacting protein 2A,2709,2364,No,-1.68,0.53838,0.62438
Eri3,ERI3,Q8C460,ERI3_MOUSE,ERI1 exoribonuclease 3,3888,4610,No,-0.26,0.53880,0.62472
Rtn4ip1,RTN4IP1,Q924D0,RT4I1_MOUSE,"Reticulon-4-interacting protein 1, mitochondrial",3687,4077,No,-0.18,0.53938,0.62511
Snrnp200,SNRNP200,Q6P4T2,U520_MOUSE,U5 small nuclear ribonucleoprotein 200 kDa helicase,13536,12569,No,0.12,0.53940,0.62511
Ksr2,KSR2,Q3UVC0,KSR2_MOUSE,Kinase suppressor of Ras 2,2896,2540,No,-1.69,0.54064,0.62638
Kcnab2,KCNAB2,P62482,KCAB2_MOUSE,Voltage-gated potassium channel subunit beta-2,21703,24084,No,-0.16,0.54098,0.62662
Mtmr3,MTMR3,Q8K296,MTMR3_MOUSE,Myotubularin-related protein 3,4362,4521,No,0.30,0.54161,0.62720
Snrpd3,SNRPD3,P62320,SMD3_MOUSE,Small nuclear ribonucleoprotein Sm D3,6372,7328,No,-0.17,0.54177,0.62723
Itpr3,ITPR3,P70227,ITPR3_MOUSE,"Inositol 1,4,5-trisphosphate receptor type 3",12170,11386,No,0.17,0.54243,0.62783
Arih2,ARIH2,Q9Z1K6,ARI2_MOUSE,E3 ubiquitin-protein ligase ARIH2,1251,1137,No,-1.51,0.54378,0.62914
Eif4a1,EIF4A1,P60843,IF4A1_MOUSE,Eukaryotic initiation factor 4A-I,30429,27121,No,0.16,0.54382,0.62914
Fmnl1,FMNL1,Q9JL26,FMNL1_MOUSE,Formin-like protein 1,4275,4688,No,-0.12,0.54582,0.63130
Prdm10,PRDM10,Q3UTQ7,PRD10_MOUSE,PR domain zinc finger protein 10,7823,5587,No,2.47,0.54610,0.63137
Mia3,MIA3,Q8BI84,TGO1_MOUSE,Transport and Golgi organization protein 1 homolog,2162,1668,No,2.11,0.54621,0.63137
Mtnd4,NA,P03911,NU4M_MOUSE,NADH-ubiquinone oxidoreductase chain 4,51672,48267,No,0.18,0.54630,0.63137
Cd2ap,CD2AP,Q9JLQ0,CD2AP_MOUSE,CD2-associated protein,8064,7496,No,0.19,0.54882,0.63413
Vps13a,VPS13A,Q5H8C4,VP13A_MOUSE,Vacuolar protein sorting-associated protein 13A,11186,10600,No,0.10,0.54914,0.63425
Angptl1,ANGPTL1,Q640P2,ANGL1_MOUSE,Angiopoietin-related protein 1,155355,100286,No,3.26,0.54933,0.63425
Tp53bp1,NA,P70399,TP53B_MOUSE,TP53-binding protein 1,2494,2344,No,0.17,0.54939,0.63425
Tmem151a,TMEM151A,Q6GQT5,T151A_MOUSE,Transmembrane protein 151A,1154,897,No,1.93,0.54957,0.63425
Mobp,MOBP,Q9D2P8,MOBP_MOUSE,Myelin-associated oligodendrocyte basic protein,3436,2409,No,2.21,0.54971,0.63425
Pfkfb2,PFKFB2,P70265,F262_MOUSE,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",3742,3529,No,0.11,0.54973,0.63425
Mettl26,METTL26,Q9DCS2,MTL26_MOUSE,Methyltransferase-like 26,4804,4202,No,-1.75,0.55106,0.63562
Prmt8,PRMT8,Q6PAK3,ANM8_MOUSE,Protein arginine N-methyltransferase 8,16254,15122,No,0.12,0.55145,0.63592
Hdac3,HDAC3,O88895,HDAC3_MOUSE,Histone deacetylase 3,1338,1077,No,1.96,0.55175,0.63607
Mcts1,MCTS1,Q9DB27,MCTS1_MOUSE,Malignant T-cell-amplified sequence 1,10682,9768,No,0.13,0.55187,0.63607
Tmem132a,TMEM132A,Q922P8,T132A_MOUSE,Transmembrane protein 132A,13121,14344,No,-0.12,0.55204,0.63607
Smchd1,SMCHD1,Q6P5D8,SMHD1_MOUSE,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,15853,12537,No,0.43,0.55213,0.63607
Osbpl8,OSBPL8,B9EJ86,OSBL8_MOUSE,Oxysterol-binding protein-related protein 8,15744,14468,No,0.12,0.55241,0.63623
Gsk3b,GSK3B,Q9WV60,GSK3B_MOUSE,Glycogen synthase kinase-3 beta,35199,36937,No,-0.08,0.55371,0.63757
Capns1,CAPNS1,O88456,CPNS1_MOUSE,Calpain small subunit 1,6757,6123,No,0.12,0.55453,0.63836
Capza1,CAPZA1,P47753,CAZA1_MOUSE,F-actin-capping protein subunit alpha-1,2844,2728,No,0.22,0.55533,0.63904
Acadsb,ACADSB,Q9DBL1,ACDSB_MOUSE,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",15965,14782,No,0.13,0.55539,0.63904
Rap1gap2,RAP1GAP2,Q5SVL6,RPGP2_MOUSE,Rap1 GTPase-activating protein 2,6288,5932,No,0.09,0.55600,0.63958
Ndufb3,NDUFB3,Q9CQZ6,NDUB3_MOUSE,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,31498,29290,No,0.14,0.55642,0.63990
Rims2,RIMS2,Q9EQZ7,RIMS2_MOUSE,Regulating synaptic membrane exocytosis protein 2,4309,4034,No,0.13,0.55672,0.64009
Clpp,CLPP,O88696,CLPP_MOUSE,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",3363,3621,No,-0.14,0.55836,0.64182
Dhx30,DHX30,Q99PU8,DHX30_MOUSE,ATP-dependent RNA helicase DHX30,3585,3872,No,-0.11,0.55854,0.64183
Setd7,SETD7,Q8VHL1,SETD7_MOUSE,Histone-lysine N-methyltransferase SETD7,7106,6617,No,0.11,0.55868,0.64183
Hsd17b12,HSD17B12,O70503,DHB12_MOUSE,Very-long-chain 3-oxoacyl-CoA reductase,22977,20529,No,0.15,0.55878,0.64183
Rps26,RPS26,P62855,RS26_MOUSE,40S ribosomal protein S26,33720,36243,No,-0.15,0.55906,0.64199
Hspb1,HSPB1,P14602,HSPB1_MOUSE,Heat shock protein beta-1,3966,6840,No,-2.70,0.55939,0.64221
Atrx,ATRX,Q61687,ATRX_MOUSE,Transcriptional regulator ATRX,754,614,No,1.77,0.55956,0.64224
Cand2,CAND2,Q6ZQ73,CAND2_MOUSE,Cullin-associated NEDD8-dissociated protein 2,9270,6935,No,2.43,0.55975,0.64231
Rpl18a,RPL18A,P62717,RL18A_MOUSE,60S ribosomal protein L18a,36942,34223,No,0.15,0.56225,0.64501
Gmppa,GMPPA,Q922H4,GMPPA_MOUSE,Mannose-1-phosphate guanyltransferase alpha,5374,4714,No,0.15,0.56239,0.64502
Gnai2,GNAI2,P08752,GNAI2_MOUSE,Guanine nucleotide-binding protein G(i) subunit alpha-2,63355,58472,No,0.12,0.56264,0.64515
Gfm2,GFM2,Q8R2Q4,RRF2M_MOUSE,"Ribosome-releasing factor 2, mitochondrial",1204,1053,No,-1.43,0.56326,0.64571
Itfg1,ITFG1,Q99KW9,TIP_MOUSE,T-cell immunomodulatory protein,5709,4641,No,-1.73,0.56359,0.64593
Prkaca,PRKACA,P05132,KAPCA_MOUSE,cAMP-dependent protein kinase catalytic subunit alpha,7091,5400,No,0.31,0.56464,0.64696
Gdi2,GDI2,Q61598,GDIB_MOUSE,Rab GDP dissociation inhibitor beta,99137,89306,No,0.16,0.56477,0.64696
Gabarapl1,GABARAPL1,Q8R3R8,GBRL1_MOUSE,Gamma-aminobutyric acid receptor-associated protein-like 1,4940,5337,No,-0.13,0.56510,0.64717
Cdh2,CDH2,P15116,CADH2_MOUSE,Cadherin-2,8802,9643,No,-0.12,0.56899,0.65147
Psmd14,PSMD14,O35593,PSDE_MOUSE,26S proteasome non-ATPase regulatory subunit 14,9943,10565,No,-0.09,0.57038,0.65291
Ncoa5,NCOA5,Q91W39,NCOA5_MOUSE,Nuclear receptor coactivator 5,3177,2311,No,2.07,0.57156,0.65409
Disp2,DISP2,Q8CIP5,DISP2_MOUSE,Protein dispatched homolog 2,2544,2244,No,2.01,0.57485,0.65769
Unc13a,UNC13A,Q4KUS2,UN13A_MOUSE,Protein unc-13 homolog A,16905,15961,No,0.10,0.57513,0.65769
Pdlim1,PDLIM1,O70400,PDLI1_MOUSE,PDZ and LIM domain protein 1,3006,2759,No,2.06,0.57513,0.65769
Add2,ADD2,Q9QYB8,ADDB_MOUSE,Beta-adducin,66281,70222,No,-0.09,0.57646,0.65905
Trim32,TRIM32,Q8CH72,TRI32_MOUSE,E3 ubiquitin-protein ligase TRIM32,4766,4324,No,0.13,0.57783,0.66046
Gstm1,GSTM5,P10649,GSTM1_MOUSE,Glutathione S-transferase Mu 1,119124,131139,No,-0.11,0.57814,0.66065
Ctps1,NA,P70698,PYRG1_MOUSE,CTP synthase 1,7631,7347,No,0.05,0.57856,0.66097
Kit,KIT,P05532,KIT_MOUSE,Mast/stem cell growth factor receptor Kit,12336,10413,No,2.40,0.57944,0.66181
Nudt21,NUDT21,Q9CQF3,CPSF5_MOUSE,Cleavage and polyadenylation specificity factor subunit 5,3951,4620,No,-0.15,0.58104,0.66348
Txnrd2,TXNRD2,Q9JLT4,TRXR2_MOUSE,"Thioredoxin reductase 2, mitochondrial",10157,9276,No,0.14,0.58146,0.66379
Klc2,KLC2,O88448,KLC2_MOUSE,Kinesin light chain 2,15706,14828,No,0.08,0.58180,0.66402
C1qa,C1QA,P98086,C1QA_MOUSE,Complement C1q subcomponent subunit A,4593,4250,No,2.14,0.58194,0.66402
Eif3e,EIF3E,P60229,EIF3E_MOUSE,Eukaryotic translation initiation factor 3 subunit E,5634,6173,No,-0.16,0.58228,0.66424
Atat1,ATAT1,Q8K341,ATAT_MOUSE,Alpha-tubulin N-acetyltransferase 1,5024,5344,No,-0.08,0.58279,0.66466
Hspa4,HSPA4,Q61316,HSP74_MOUSE,Heat shock 70 kDa protein 4,63801,59757,No,0.10,0.58437,0.66630
Chd9,CHD9,Q8BYH8,CHD9_MOUSE,Chromodomain-helicase-DNA-binding protein 9,40237,35618,No,2.66,0.58531,0.66709
Magt1,MAGT1,Q9CQY5,MAGT1_MOUSE,Magnesium transporter protein 1,1322,2261,No,-2.23,0.58535,0.66709
Snap25,SNAP25,P60879,SNP25_MOUSE,Synaptosomal-associated protein 25,43462,52686,No,-0.19,0.58654,0.66829
Stard7,STARD7,Q8R1R3,STAR7_MOUSE,"StAR-related lipid transfer protein 7, mitochondrial",8774,3241,No,2.65,0.58753,0.66925
Tomm34,TOMM34,Q9CYG7,TOM34_MOUSE,Mitochondrial import receptor subunit TOM34,3559,4129,No,-0.15,0.58799,0.66961
Rps9,RPS9,Q6ZWN5,RS9_MOUSE,40S ribosomal protein S9,70377,62605,No,0.14,0.58893,0.67033
Rgl2,RGL2,Q61193,RGL2_MOUSE,Ral guanine nucleotide dissociation stimulator-like 2,2195,2096,No,1.92,0.58903,0.67033
Gdpd1,GDPD1,Q9CRY7,GDPD1_MOUSE,Lysophospholipase D GDPD1,26786,25054,No,0.09,0.58905,0.67033
Ube2v2,UBE2V2,Q9D2M8,UB2V2_MOUSE,Ubiquitin-conjugating enzyme E2 variant 2,29152,30835,No,-0.09,0.59060,0.67192
Plxnc1,PLXNC1,Q9QZC2,PLXC1_MOUSE,Plexin-C1,2236,2403,No,-0.14,0.59074,0.67192
Mt1,NA,P02802,MT1_MOUSE,Metallothionein-1,1751,1583,No,1.83,0.59142,0.67253
Gjb1,GJB1,P28230,CXB1_MOUSE,Gap junction beta-1 protein,2137,981,No,2.22,0.59195,0.67298
Babam1,BABAM1,Q3UI43,BABA1_MOUSE,BRISC and BRCA1-A complex member 1,3292,3551,No,-0.11,0.59226,0.67317
Gsdma,GSDMA,Q9EST1,GSDMA_MOUSE,Gasdermin-A,4875,9497,No,-2.57,0.59257,0.67335
Ostf1,OSTF1,Q62422,OSTF1_MOUSE,Osteoclast-stimulating factor 1,1518,706,No,2.10,0.59316,0.67366
Armt1,ARMT1,A6H630,ARMT1_MOUSE,Damage-control phosphatase ARMT1,3818,4431,No,-0.17,0.59317,0.67366
Tamm41,TAMM41,Q3TUH1,TAM41_MOUSE,"Phosphatidate cytidylyltransferase, mitochondrial",1123,1158,No,1.73,0.59339,0.67366
Itpr1,ITPR1,P11881,ITPR1_MOUSE,"Inositol 1,4,5-trisphosphate receptor type 1",47036,51289,No,-0.11,0.59342,0.67366
Ubqln2,UBQLN2,Q9QZM0,UBQL2_MOUSE,Ubiquilin-2,1524,2408,No,-2.20,0.59468,0.67493
Cutc,CUTC,Q9D8X1,CUTC_MOUSE,Copper homeostasis protein cutC homolog,4014,3870,No,2.03,0.59587,0.67611
Ccna2,CCNA2,P51943,CCNA2_MOUSE,Cyclin-A2,8519,8010,No,2.21,0.59649,0.67665
Mvk,MVK,Q9R008,KIME_MOUSE,Mevalonate kinase,2357,2286,No,1.89,0.59761,0.67775
Ntng2,NTNG2,Q8R4F1,NTNG2_MOUSE,Netrin-G2,2251,3503,No,-2.30,0.59801,0.67804
Olfm3,OLFM3,P63056,NOE3_MOUSE,Noelin-3,4482,4223,No,0.14,0.59838,0.67824
Rbmxl1,RBMXL1,Q91VM5,RMXL1_MOUSE,"RNA binding motif protein, X-linked-like-1",2972,3416,No,-0.21,0.59847,0.67824
Sdha,SDHA,Q8K2B3,SDHA_MOUSE,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",112044,101420,No,0.13,0.59911,0.67880
Fastkd2,FASTKD2,Q922E6,FAKD2_MOUSE,"FAST kinase domain-containing protein 2, mitochondrial",1928,1777,No,1.83,0.59989,0.67951
Myh11,MYH11,O08638,MYH11_MOUSE,Myosin-11,12805,21850,No,-2.80,0.60053,0.68007
Hectd1,HECTD1,Q69ZR2,HECD1_MOUSE,E3 ubiquitin-protein ligase HECTD1,2416,2680,No,-0.16,0.60181,0.68126
Rps6ka6,RPS6KA6,Q7TPS0,KS6A6_MOUSE,Ribosomal protein S6 kinase alpha-6,22418,38522,No,-2.94,0.60187,0.68126
Ruvbl2,RUVBL2,Q9WTM5,RUVB2_MOUSE,RuvB-like 2,5981,6409,No,-0.10,0.60215,0.68141
Mtmr12,MTMR12,Q80TA6,MTMRC_MOUSE,Myotubularin-related protein 12,2368,2363,No,1.87,0.60348,0.68275
Lmnb1,LMNB1,P14733,LMNB1_MOUSE,Lamin-B1,3322,3539,No,-0.19,0.60503,0.68434
Ppp2r2c,PPP2R2C,Q8BG02,2ABG_MOUSE,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B gamma isoform,4948,5729,No,-0.19,0.60578,0.68503
Sec62,SEC62,Q8BU14,SEC62_MOUSE,Translocation protein SEC62,3326,3159,No,0.07,0.60599,0.68509
Dclk2,DCLK2,Q6PGN3,DCLK2_MOUSE,Serine/threonine-protein kinase DCLK2,18353,19148,No,-0.06,0.60615,0.68511
Fkbp5,FKBP5,Q64378,FKBP5_MOUSE,Peptidyl-prolyl cis-trans isomerase FKBP5,4134,3910,No,0.10,0.60637,0.68519
Ppif,PPIF,Q99KR7,PPIF_MOUSE,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",3452,5320,No,-2.37,0.60665,0.68535
Ndufc2,NDUFC2,Q9CQ54,NDUC2_MOUSE,NADH dehydrogenase [ubiquinone] 1 subunit C2,59157,54632,No,0.10,0.60776,0.68627
Ddn,DDN,Q80TS7,DEND_MOUSE,Dendrin,1365,1334,No,1.71,0.60776,0.68627
Cyrib,NA,Q921M7,CYRIB_MOUSE,CYFIP-related Rac1 interactor B,36509,39198,No,-0.12,0.60852,0.68696
Mta3,MTA3,Q924K8,MTA3_MOUSE,Metastasis-associated protein MTA3,1987,2217,No,1.80,0.61003,0.68850
Tmed8,TMED8,Q3UHI4,TMED8_MOUSE,Protein TMED8,2317,2360,No,1.83,0.61038,0.68868
Cdc37,CDC37,Q61081,CDC37_MOUSE,Hsp90 co-chaperone Cdc37,10193,10908,No,-0.15,0.61049,0.68868
Plekhd1,PLEKHD1,B2RPU2,PLHD1_MOUSE,Pleckstrin homology domain-containing family D member 1,3570,3798,No,1.93,0.61067,0.68869
Lactb2,LACTB2,Q99KR3,LACB2_MOUSE,Endoribonuclease LACTB2,1216,1679,No,-2.03,0.61081,0.68869
