Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein Description,TurboID avg abundance,tdT avg abundance,Classification,logFC (TurboID vs. tdT),P.Value (TurboID vs. tdT),adj.P.Value (TurboID vs. tdT)
Plppr4,PLPPR4,Q7TME0,PLPR4_MOUSE,2-lysophosphatidate phosphatase PLPPR4,158993,1578619,TurboID enriched,10.39,0.037539,0.085000
Map2,MAP2,P20357,MTAP2_MOUSE,Microtubule-associated protein 2,80302,31421,TurboID enriched,1.78,0.037803,0.085409
Rap2b,RAP2B,P61226,RAP2B_MOUSE,Ras-related protein Rap-2b,59450,23644,TurboID enriched,1.38,0.037830,0.085409
Atp5f1e,NA,P56382,ATP5E_MOUSE,"ATP synthase subunit epsilon, mitochondrial",69788,29620,TurboID enriched,1.42,0.037974,0.085424
Snap25,SNAP25,P60879,SNP25_MOUSE,Synaptosomal-associated protein 25,46080,20198,TurboID enriched,2.00,0.038009,0.085424
Slc25a18,SLC25A18,Q9DB41,GHC2_MOUSE,Mitochondrial glutamate carrier 2,52732,10079,TurboID enriched,6.76,0.038021,0.085424
Rpl14,RPL14,Q9CR57,RL14_MOUSE,60S ribosomal protein L14,31843,12964,TurboID enriched,1.58,0.038059,0.085424
Palm,PALM,Q9Z0P4,PALM_MOUSE,Paralemmin-1,64893,25923,TurboID enriched,1.62,0.038481,0.086246
Wwc2,WWC2,Q6NXJ0,WWC2_MOUSE,Protein WWC2,9575,55543,TurboID enriched,7.93,0.038746,0.086715
Kras,KRAS,P32883,RASK_MOUSE,GTPase KRas,40625,16800,TurboID enriched,1.34,0.039347,0.087931
Snap91,SNAP91,Q61548,AP180_MOUSE,Clathrin coat assembly protein AP180,29024,12166,TurboID enriched,1.78,0.039524,0.088201
Ptprs,PTPRS,B0V2N1,PTPRS_MOUSE,Receptor-type tyrosine-protein phosphatase S,57100,11333,TurboID enriched,6.76,0.039966,0.088810
Phb2,PHB2,O35129,PHB2_MOUSE,Prohibitin-2,25718,10576,TurboID enriched,1.44,0.040070,0.088810
Rab14,RAB14,Q91V41,RAB14_MOUSE,Ras-related protein Rab-14,200748,80156,TurboID enriched,1.32,0.040088,0.088810
Acad8,ACAD8,Q9D7B6,ACAD8_MOUSE,"Isobutyryl-CoA dehydrogenase, mitochondrial",20289,5280,TurboID enriched,6.15,0.040137,0.088810
Cdipt,CDIPT,Q8VDP6,CDIPT_MOUSE,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,76182,14690,TurboID enriched,6.94,0.040138,0.088810
Ldha,LDHA,P06151,LDHA_MOUSE,L-lactate dehydrogenase A chain,127993,47236,TurboID enriched,2.02,0.040143,0.088810
Eps15,EPS15,P42567,EPS15_MOUSE,Epidermal growth factor receptor substrate 15,50537,12246,TurboID enriched,6.70,0.040447,0.089354
Nceh1,NCEH1,Q8BLF1,NCEH1_MOUSE,Neutral cholesterol ester hydrolase 1,50807,11217,TurboID enriched,6.67,0.041041,0.090476
Atp6v1b2,ATP6V1B2,P62814,VATB2_MOUSE,"V-type proton ATPase subunit B, brain isoform",79069,33621,TurboID enriched,1.41,0.041072,0.090476
Cspg4,CSPG4,Q8VHY0,CSPG4_MOUSE,Chondroitin sulfate proteoglycan 4,9559,59286,TurboID enriched,7.86,0.041383,0.091030
Coro1a,CORO1A,O89053,COR1A_MOUSE,Coronin-1A,63958,25467,TurboID enriched,1.41,0.041685,0.091565
Prxl2a,NA,Q9CYH2,PXL2A_MOUSE,Peroxiredoxin-like 2A,98186,19592,TurboID enriched,7.04,0.042194,0.092552
Tmx2,TMX2,Q9D710,TMX2_MOUSE,Thioredoxin-related transmembrane protein 2,88472,19117,TurboID enriched,6.98,0.042456,0.092993
Sucla2,SUCLA2,Q9Z2I9,SUCB1_MOUSE,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",53188,21488,TurboID enriched,1.38,0.042901,0.093780
Abr,ABR,Q5SSL4,ABR_MOUSE,Active breakpoint cluster region-related protein,39792,11535,TurboID enriched,6.52,0.042937,0.093780
Add2,ADD2,Q9QYB8,ADDB_MOUSE,Beta-adducin,46394,17607,TurboID enriched,1.38,0.043097,0.093996
Rhoa,RHOA,Q9QUI0,RHOA_MOUSE,Transforming protein RhoA,33875,14398,TurboID enriched,1.55,0.043659,0.095089
Slc39a12,SLC39A12,Q5FWH7,S39AC_MOUSE,Zinc transporter ZIP12,143563,35504,TurboID enriched,7.24,0.044473,0.096724
Hsd17b11,HSD17B11,Q9EQ06,DHB11_MOUSE,Estradiol 17-beta-dehydrogenase 11,47101,12371,TurboID enriched,6.55,0.044870,0.097450
Eef1a2,EEF1A2,P62631,EF1A2_MOUSE,Elongation factor 1-alpha 2,102434,33535,TurboID enriched,1.86,0.045210,0.098051
Septin11,NA,Q8C1B7,SEP11_MOUSE,Septin-11,42453,18404,TurboID enriched,1.30,0.045473,0.098483
Abhd16a,ABHD16A,Q9Z1Q2,ABHGA_MOUSE,Phosphatidylserine lipase ABHD16A,53944,12459,TurboID enriched,6.59,0.045845,0.099148
Grin2b,GRIN2B,Q01097,NMDE2_MOUSE,"Glutamate receptor ionotropic, NMDA 2B",24472,6351,TurboID enriched,6.11,0.046178,0.099728
Coro1c,CORO1C,Q9WUM4,COR1C_MOUSE,Coronin-1C,51188,12999,TurboID enriched,6.54,0.046853,0.101024
Pygb,PYGB,Q8CI94,PYGB_MOUSE,"Glycogen phosphorylase, brain form",88717,35666,TurboID enriched,1.42,0.046908,0.101024
Gnaz,GNAZ,O70443,GNAZ_MOUSE,Guanine nucleotide-binding protein G(z) subunit alpha,60138,14679,TurboID enriched,6.63,0.047117,0.101306
Gabbr1,GABBR1,Q9WV18,GABR1_MOUSE,Gamma-aminobutyric acid type B receptor subunit 1,131502,34480,TurboID enriched,7.11,0.047221,0.101306
Rhot1,RHOT1,Q8BG51,MIRO1_MOUSE,Mitochondrial Rho GTPase 1,66140,15376,TurboID enriched,6.67,0.047237,0.101306
Rpl7a,RPL7A,P12970,RL7A_MOUSE,60S ribosomal protein L7a,22397,9631,TurboID enriched,1.23,0.047693,0.102142
Maob,MAOB,Q8BW75,AOFB_MOUSE,Amine oxidase [flavin-containing] B,58318,15088,TurboID enriched,6.59,0.048010,0.102679
Sec22b,SEC22B,O08547,SC22B_MOUSE,Vesicle-trafficking protein SEC22b,57365,15952,TurboID enriched,6.59,0.048265,0.103082
Slc6a17,SLC6A17,Q8BJI1,S6A17_MOUSE,Sodium-dependent neutral amino acid transporter SLC6A17,52918,13389,TurboID enriched,6.52,0.048469,0.103375
Ndufv1,NDUFV1,Q91YT0,NDUV1_MOUSE,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",37600,14599,TurboID enriched,1.32,0.048681,0.103682
Dlg1,DLG1,Q811D0,DLG1_MOUSE,Disks large homolog 1,36057,9615,TurboID enriched,6.28,0.049039,0.104301
Rpl5,RPL5,P47962,RL5_MOUSE,60S ribosomal protein L5,56400,23648,TurboID enriched,1.38,0.049248,0.104602
Emc1,EMC1,Q8C7X2,EMC1_MOUSE,ER membrane protein complex subunit 1,45140,12028,TurboID enriched,6.41,0.049351,0.104675
Fermt2,FERMT2,Q8CIB5,FERM2_MOUSE,Fermitin family homolog 2,45252,13002,TurboID enriched,6.42,0.049482,0.104809
Cdc42ep1,CDC42EP1,Q91W92,BORG5_MOUSE,Cdc42 effector protein 1,8640,69196,TurboID enriched,7.59,0.049772,0.105279
Ppp1r21,PPP1R21,Q3TDD9,PPR21_MOUSE,Protein phosphatase 1 regulatory subunit 21,7902,9018,tdTomato enriched,-10.98,0.005763,0.031465
Rhob,RHOB,P62746,RHOB_MOUSE,Rho-related GTP-binding protein RhoB,27616,11156,No,1.35,0.050472,0.106614
Atp5mf,NA,P56135,ATPK_MOUSE,"ATP synthase subunit f, mitochondrial",143811,38843,No,7.07,0.050755,0.107066
Acat1,ACAT1,Q8QZT1,THIL_MOUSE,"Acetyl-CoA acetyltransferase, mitochondrial",53587,23163,No,1.22,0.051285,0.108035
Ndufa9,NDUFA9,Q9DC69,NDUA9_MOUSE,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",73279,25118,No,1.50,0.051490,0.108283
Ncam2,NCAM2,O35136,NCAM2_MOUSE,Neural cell adhesion molecule 2,92533,23222,No,6.78,0.051543,0.108283
Ccdc6,CCDC6,D3YZP9,CCDC6_MOUSE,Coiled-coil domain-containing protein 6,10292,9791,No,-8.73,0.051998,0.109005
Rab21,RAB21,P35282,RAB21_MOUSE,Ras-related protein Rab-21,23334,7112,No,5.97,0.052028,0.109005
Wdr7,WDR7,Q920I9,WDR7_MOUSE,WD repeat-containing protein 7,50516,14908,No,6.40,0.053259,0.111432
Pafah1b1,PAFAH1B1,P63005,LIS1_MOUSE,Platelet-activating factor acetylhydrolase IB subunit beta,85733,24459,No,6.70,0.053494,0.111773
Rab5c,RAB5C,P35278,RAB5C_MOUSE,Ras-related protein Rab-5C,49957,23021,No,1.24,0.053775,0.112099
Atp5mg,NA,Q9CPQ8,ATP5L_MOUSE,"ATP synthase subunit g, mitochondrial",63575,27828,No,1.38,0.053796,0.112099
Hsd17b4,HSD17B4,P51660,DHB4_MOUSE,Peroxisomal multifunctional enzyme type 2,50887,15798,No,6.39,0.054132,0.112521
Ddost,DDOST,O54734,OST48_MOUSE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,45277,16088,No,6.34,0.054269,0.112521
Dync1h1,DYNC1H1,Q9JHU4,DYHC1_MOUSE,Cytoplasmic dynein 1 heavy chain 1,46144,20254,No,1.47,0.054289,0.112521
Acad9,ACAD9,Q8JZN5,ACAD9_MOUSE,"Complex I assembly factor ACAD9, mitochondrial",18288,5917,No,5.79,0.054290,0.112521
Snrpd1,SNRPD1,P62315,SMD1_MOUSE,Small nuclear ribonucleoprotein Sm D1,21694,7131,No,5.87,0.055465,0.114802
Ap3d1,AP3D1,O54774,AP3D1_MOUSE,AP-3 complex subunit delta-1,27323,11600,No,1.54,0.056315,0.116404
Tcp1,TCP1,P11983,TCPA_MOUSE,T-complex protein 1 subunit alpha,45503,15699,No,6.29,0.056464,0.116555
Atp6v0d1,ATP6V0D1,P51863,VA0D1_MOUSE,V-type proton ATPase subunit d 1,55299,21482,No,1.36,0.057124,0.117762
Birc6,BIRC6,O88738,BIRC6_MOUSE,Baculoviral IAP repeat-containing protein 6,44044,14537,No,6.24,0.057469,0.118313
Pitpnm1,PITPNM1,O35954,PITM1_MOUSE,Membrane-associated phosphatidylinositol transfer protein 1,27305,10503,No,5.98,0.057695,0.118620
Hadhb,HADHB,Q99JY0,ECHB_MOUSE,"Trifunctional enzyme subunit beta, mitochondrial",36525,11850,No,6.09,0.059030,0.121171
Capza2,CAPZA2,P47754,CAZA2_MOUSE,F-actin-capping protein subunit alpha-2,28322,12445,No,1.36,0.059151,0.121171
Anxa6,ANXA6,P14824,ANXA6_MOUSE,Annexin A6,23122,8032,No,5.84,0.059171,0.121171
Cttn,CTTN,Q60598,SRC8_MOUSE,Src substrate cortactin,50198,17862,No,6.28,0.059790,0.122277
Kcnab2,KCNAB2,P62482,KCAB2_MOUSE,Voltage-gated potassium channel subunit beta-2,22200,7336,No,5.78,0.060543,0.123651
Ppp3ca,PPP3CA,P63328,PP2BA_MOUSE,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,74367,34752,No,1.60,0.060873,0.124118
Dynll2,DYNLL2,Q9D0M5,DYL2_MOUSE,"Dynein light chain 2, cytoplasmic",20053,7359,No,5.73,0.060932,0.124118
Nptx1,NPTX1,Q62443,NPTX1_MOUSE,Neuronal pentraxin-1,17248,8174,No,5.68,0.061126,0.124348
Agfg1,AGFG1,Q8K2K6,AGFG1_MOUSE,Arf-GAP domain and FG repeat-containing protein 1,41831,16379,No,6.16,0.061241,0.124419
Adam23,ADAM23,Q9R1V7,ADA23_MOUSE,Disintegrin and metalloproteinase domain-containing protein 23,29413,10190,No,5.93,0.061391,0.124559
Mdh2,MDH2,P08249,MDHM_MOUSE,"Malate dehydrogenase, mitochondrial",149691,64794,No,1.37,0.061481,0.124579
Tmx4,TMX4,Q8C0L0,TMX4_MOUSE,Thioredoxin-related transmembrane protein 4,30008,11366,No,5.93,0.062809,0.127101
Rpl9,RPL9,P51410,RL9_MOUSE,60S ribosomal protein L9,34118,12179,No,5.99,0.062905,0.127128
Slc2a13,SLC2A13,Q3UHK1,MYCT_MOUSE,Proton myo-inositol cotransporter,25677,12271,No,5.86,0.063756,0.128680
Septin8,NA,Q8CHH9,SEPT8_MOUSE,Septin-8,59339,26245,No,1.63,0.064801,0.130619
Abhd6,ABHD6,Q8R2Y0,ABHD6_MOUSE,Monoacylglycerol lipase ABHD6,27267,10042,No,5.82,0.065020,0.130888
Immt,IMMT,Q8CAQ8,MIC60_MOUSE,MICOS complex subunit Mic60,63897,28253,No,1.48,0.065397,0.131477
Dnajc11,DNAJC11,Q5U458,DJC11_MOUSE,DnaJ homolog subfamily C member 11,59839,21370,No,6.26,0.065763,0.131902
Uqcrfs1,UQCRFS1,Q9CR68,UCRI_MOUSE,"Cytochrome b-c1 complex subunit Rieske, mitochondrial",116316,51532,No,1.23,0.065780,0.131902
Syt2,SYT2,P46097,SYT2_MOUSE,Synaptotagmin-2,15273,5954,No,5.49,0.065940,0.132051
Sccpdh,SCCPDH,Q8R127,SCPDL_MOUSE,Saccharopine dehydrogenase-like oxidoreductase,31260,14951,No,5.92,0.066221,0.132442
Dlat,DLAT,Q8BMF4,ODP2_MOUSE,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",56097,23418,No,1.49,0.066418,0.132665
Mpp2,MPP2,Q9WV34,MPP2_MOUSE,MAGUK p55 subfamily member 2,22626,8585,No,5.69,0.066575,0.132729
Pdha1,PDHA1,P35486,ODPA_MOUSE,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",54380,21493,No,1.28,0.066622,0.132729
Rps16,RPS16,P14131,RS16_MOUSE,40S ribosomal protein S16,29281,12100,No,5.85,0.066779,0.132869
Nefh,NEFH,P19246,NFH_MOUSE,Neurofilament heavy polypeptide,32506,12811,No,5.88,0.067893,0.134825
Gna11,GNA11,P21278,GNA11_MOUSE,Guanine nucleotide-binding protein subunit alpha-11,16192,5717,No,5.48,0.067954,0.134825
Aldh5a1,ALDH5A1,Q8BWF0,SSDH_MOUSE,"Succinate-semialdehyde dehydrogenase, mitochondrial",24514,9771,No,5.72,0.068025,0.134825
Cox6c,COX6C,Q9CPQ1,COX6C_MOUSE,Cytochrome c oxidase subunit 6C,107600,53174,No,1.29,0.068244,0.135001
Trap1,TRAP1,Q9CQN1,TRAP1_MOUSE,"Heat shock protein 75 kDa, mitochondrial",84444,32752,No,1.76,0.068289,0.135001
Tnr,TNR,Q8BYI9,TENR_MOUSE,Tenascin-R,58193,24681,No,1.17,0.068470,0.135186
Acsf2,ACSF2,Q8VCW8,ACSF2_MOUSE,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial",27594,12003,No,5.78,0.068870,0.135803
Map6,MAP6,Q7TSJ2,MAP6_MOUSE,Microtubule-associated protein 6,73977,33700,No,1.66,0.070589,0.139015
Gnaq,GNAQ,P21279,GNAQ_MOUSE,Guanine nucleotide-binding protein G(q) subunit alpha,48502,20888,No,6.06,0.070687,0.139029
Glud1,GLUD1,P26443,DHE3_MOUSE,"Glutamate dehydrogenase 1, mitochondrial",52372,24267,No,1.23,0.070846,0.139165
Dmtn,DMTN,Q9WV69,DEMA_MOUSE,Dematin,29116,14460,No,5.79,0.071171,0.139625
Atl1,ATL1,Q8BH66,ATLA1_MOUSE,Atlastin-1,46297,17858,No,6.01,0.071491,0.140076
Rps4x,RPS4Y1,P62702,RS4X_MOUSE,"40S ribosomal protein S4, X isoform",16685,7829,No,5.46,0.071659,0.140227
Rpl8,RPL8,P62918,RL8_MOUSE,60S ribosomal protein L8,19226,7956,No,5.52,0.072246,0.141128
Napg,NAPG,Q9CWZ7,SNAG_MOUSE,Gamma-soluble NSF attachment protein,18176,8539,No,5.50,0.072303,0.141128
Prmt8,PRMT8,Q6PAK3,ANM8_MOUSE,Protein arginine N-methyltransferase 8,36379,15420,No,5.86,0.073033,0.142372
Cadps,CADPS,Q80TJ1,CAPS1_MOUSE,Calcium-dependent secretion activator 1,34838,14880,No,5.83,0.073392,0.142891
Dnajc5,DNAJC5,P60904,DNJC5_MOUSE,DnaJ homolog subfamily C member 5,19904,7301,No,5.49,0.073575,0.143068
Actn1,ACTN1,Q7TPR4,ACTN1_MOUSE,Alpha-actinin-1,25092,10199,No,1.22,0.074895,0.145451
Ndufc2,NDUFC2,Q9CQ54,NDUC2_MOUSE,NADH dehydrogenase [ubiquinone] 1 subunit C2,46552,21397,No,5.97,0.075023,0.145517
Copb2,COPB2,O55029,COPB2_MOUSE,Coatomer subunit beta',29693,15111,No,5.72,0.076251,0.147713
Ndufb3,NDUFB3,Q9CQZ6,NDUB3_MOUSE,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,22200,11608,No,5.56,0.076436,0.147884
Ndrg2,NDRG2,Q9QYG0,NDRG2_MOUSE,Protein NDRG2,109939,48442,No,6.41,0.076735,0.148278
Nebl,NA,Q9DC07,LNEBL_MOUSE,LIM zinc-binding domain-containing Nebulette,20305,10870,No,5.51,0.076853,0.148321
Grin1,GRIN1,P35438,NMDZ1_MOUSE,"Glutamate receptor ionotropic, NMDA 1",37246,17391,No,5.81,0.077618,0.149609
Prdx3,PRDX3,P20108,PRDX3_MOUSE,"Thioredoxin-dependent peroxide reductase, mitochondrial",69388,35055,No,1.08,0.078013,0.150182
Alb,ALB,P02768,ALBU_HUMAN,Serum albumin,183459,452706,No,-2.03,0.078553,0.151032
Slc22a17,SLC22A17,Q9D9E0,S22AH_MOUSE,Solute carrier family 22 member 17,14447,2205,No,7.74,0.079420,0.152510
Gng3,GNG3,P63216,GBG3_MOUSE,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-3,21807,12460,No,5.51,0.079944,0.153325
Ap2a2,AP2A2,P17427,AP2A2_MOUSE,AP-2 complex subunit alpha-2,35293,16301,No,5.73,0.080392,0.153993
Slc29a1,SLC29A1,Q9JIM1,S29A1_MOUSE,Equilibrative nucleoside transporter 1,7813,1280,No,7.18,0.080794,0.154571
Gdi2,GDI2,Q61598,GDIB_MOUSE,Rab GDP dissociation inhibitor beta,27586,13775,No,5.59,0.081420,0.155575
Gatd3a,NA,Q9D172,GAL3A_MOUSE,"Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial",43477,23115,No,5.84,0.081956,0.156406
Slc4a3,SLC4A3,P16283,B3A3_MOUSE,Anion exchange protein 3,22207,10486,No,5.46,0.082076,0.156441
Vdac1,VDAC1,Q60932,VDAC1_MOUSE,Voltage-dependent anion-selective channel protein 1,165989,83692,No,1.04,0.082190,0.156465
Ran,RAN,P62827,RAN_MOUSE,GTP-binding nuclear protein Ran,79982,40943,No,6.15,0.082815,0.157460
Csrp1,CSRP1,P97315,CSRP1_MOUSE,Cysteine and glycine-rich protein 1,48916,25926,No,5.88,0.083072,0.157755
Rps20,RPS20,P60867,RS20_MOUSE,40S ribosomal protein S20,13395,8128,No,5.20,0.083291,0.157976
Tpd52l2,TPD52L2,Q9CYZ2,TPD54_MOUSE,Tumor protein D54,13328,6920,No,5.16,0.083935,0.159002
Grm3,GRM3,Q9QYS2,GRM3_MOUSE,Metabotropic glutamate receptor 3,101414,52129,No,6.22,0.086149,0.162997
Sirt2,SIRT2,Q8VDQ8,SIR2_MOUSE,NAD-dependent protein deacetylase sirtuin-2,47487,23515,No,5.80,0.086297,0.163076
Wdr1,WDR1,O88342,WDR1_MOUSE,WD repeat-containing protein 1,79597,39565,No,6.07,0.086911,0.163845
Cyc1,CYC1,Q9D0M3,CY1_MOUSE,"Cytochrome c1, heme protein, mitochondrial",121139,59902,No,1.35,0.086916,0.163845
Slc1a3,SLC1A3,P56564,EAA1_MOUSE,Excitatory amino acid transporter 1,393469,202920,No,6.93,0.087233,0.164130
Auh,AUH,Q9JLZ3,AUHM_MOUSE,"Methylglutaconyl-CoA hydratase, mitochondrial",21867,12712,No,5.40,0.087351,0.164130
Pex5l,PEX5L,Q8C437,PEX5R_MOUSE,PEX5-related protein,17089,10033,No,5.27,0.087387,0.164130
Gtf2f2,GTF2F2,Q8R0A0,T2FB_MOUSE,General transcription factor IIF subunit 2,31504,16596,No,5.57,0.087797,0.164577
Tmem65,TMEM65,Q4VAE3,TMM65_MOUSE,Transmembrane protein 65,44992,24174,No,5.76,0.087839,0.164577
Tecr,TECR,Q9CY27,TECR_MOUSE,Very-long-chain enoyl-CoA reductase,137937,72055,No,1.12,0.089476,0.167441
Agpat1,AGPAT1,O35083,PLCA_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,60347,27130,No,5.87,0.090110,0.168423
Rims1,RIMS1,Q99NE5,RIMS1_MOUSE,Regulating synaptic membrane exocytosis protein 1,9677,5541,No,4.92,0.090235,0.168453
Phgdh,PHGDH,Q61753,SERA_MOUSE,D-3-phosphoglycerate dehydrogenase,24038,15410,No,5.41,0.090548,0.168833
Acot13,ACOT13,Q9CQR4,ACO13_MOUSE,Acyl-coenzyme A thioesterase 13,29837,24467,No,5.56,0.091029,0.169525
Syngap1,SYNGAP1,F6SEU4,SYGP1_MOUSE,Ras/Rap GTPase-activating protein SynGAP,23747,13219,No,5.37,0.091652,0.170215
Crtc3,CRTC3,Q91X84,CRTC3_MOUSE,CREB-regulated transcription coactivator 3,11555,2503,No,7.31,0.091655,0.170215
Atp5me,NA,Q06185,ATP5I_MOUSE,"ATP synthase subunit e, mitochondrial",37653,26714,No,5.64,0.091730,0.170215
Ahcy,AHCY,P50247,SAHH_MOUSE,Adenosylhomocysteinase,24820,12957,No,1.02,0.092418,0.171284
Dhcr7,DHCR7,O88455,DHCR7_MOUSE,7-dehydrocholesterol reductase,44970,28536,No,5.71,0.092630,0.171471
Hnrnpc,HNRNPC,Q9Z204,HNRPC_MOUSE,Heterogeneous nuclear ribonucleoproteins C1/C2,23276,13824,No,5.35,0.092902,0.171769
Cyb5r3,CYB5R3,Q9DCN2,NB5R3_MOUSE,NADH-cytochrome b5 reductase 3,24636,13260,No,5.37,0.093159,0.172037
Echdc1,ECHDC1,Q9D9V3,ECHD1_MOUSE,Ethylmalonyl-CoA decarboxylase,9705,2578,No,7.20,0.093388,0.172254
Cox5b,COX5B,P19536,COX5B_MOUSE,"Cytochrome c oxidase subunit 5B, mitochondrial",80128,43566,No,1.19,0.094154,0.173422
Gprin1,GPRIN1,Q3UNH4,GRIN1_MOUSE,G protein-regulated inducer of neurite outgrowth 1,58815,32995,No,5.81,0.094246,0.173422
Slc9a3r1,SLC9A3R1,P70441,NHRF1_MOUSE,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,48109,26920,No,5.70,0.094610,0.173884
Rab18,RAB18,P35293,RAB18_MOUSE,Ras-related protein Rab-18,21849,13092,No,5.28,0.095632,0.175552
Phyhipl,PHYHIPL,Q8BGT8,PHIPL_MOUSE,Phytanoyl-CoA hydroxylase-interacting protein-like,65671,36558,No,5.84,0.096039,0.176090
Ptprz1,PTPRZ1,B9EKR1,PTPRZ_MOUSE,Receptor-type tyrosine-protein phosphatase zeta,16342,10927,No,5.14,0.096175,0.176130
Cd9,CD9,P40240,CD9_MOUSE,CD9 antigen,25208,6379,No,7.87,0.096462,0.176251
Tmem163,TMEM163,Q8C996,TM163_MOUSE,Transmembrane protein 163,23836,6116,No,7.83,0.096469,0.176251
Tmco1,TMCO1,Q921L3,TMCO1_MOUSE,Calcium load-activated calcium channel,24897,6219,No,7.85,0.096612,0.176302
Got2,GOT2,P05202,AATM_MOUSE,"Aspartate aminotransferase, mitochondrial",57213,28057,No,1.18,0.096888,0.176473
Pgrmc1,PGRMC1,O55022,PGRC1_MOUSE,Membrane-associated progesterone receptor component 1,23297,14811,No,5.30,0.096935,0.176473
Rap1a,RAP1A,P62835,RAP1A_MOUSE,Ras-related protein Rap-1A,64543,30764,No,1.20,0.097193,0.176735
Crip2,CRIP2,Q9DCT8,CRIP2_MOUSE,Cysteine-rich protein 2,32112,20151,No,5.45,0.098184,0.178327
Kif2a,KIF2A,P28740,KIF2A_MOUSE,Kinesin-like protein KIF2A,14547,8948,No,5.03,0.098927,0.179268
Arpc2,ARPC2,Q9CVB6,ARPC2_MOUSE,Actin-related protein 2/3 complex subunit 2,15453,10429,No,5.07,0.098934,0.179268
Phka1,PHKA1,P18826,KPB1_MOUSE,"Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform",8980,5793,No,4.78,0.099391,0.179714
Trappc12,TRAPPC12,Q8K2L8,TPC12_MOUSE,Trafficking protein particle complex subunit 12,9317,2964,No,7.07,0.099414,0.179714
Oxct1,OXCT1,Q9D0K2,SCOT1_MOUSE,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",31230,16301,No,1.17,0.099759,0.180127
Gng2,GNG2,P63213,GBG2_MOUSE,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2,18974,15269,No,5.20,0.100031,0.180333
Camkv,CAMKV,Q3UHL1,CAMKV_MOUSE,CaM kinase-like vesicle-associated protein,38542,23784,No,5.52,0.100144,0.180333
Napb,NAPB,P28663,SNAB_MOUSE,Beta-soluble NSF attachment protein,21798,13311,No,5.22,0.100253,0.180333
Cc2d1b,CC2D1B,Q8BRN9,C2D1B_MOUSE,Coiled-coil and C2 domain-containing protein 1B,30518,8384,No,7.94,0.100341,0.180333
Tkt,TKT,P40142,TKT_MOUSE,Transketolase,98908,64586,No,6.00,0.100704,0.180775
Rpl11,RPL11,Q9CXW4,RL11_MOUSE,60S ribosomal protein L11,18915,12169,No,5.14,0.101302,0.181637
Fscn1,FSCN1,Q61553,FSCN1_MOUSE,Fascin,27116,16598,No,5.32,0.101514,0.181806
Map4,MAP4,P27546,MAP4_MOUSE,Microtubule-associated protein 4,68895,43526,No,5.80,0.101754,0.182024
Akap9,AKAP9,Q70FJ1,AKAP9_MOUSE,A-kinase anchor protein 9,13881,4780,No,7.35,0.102010,0.182270
Uqcr10,UQCR10,Q8R1I1,QCR9_MOUSE,Cytochrome b-c1 complex subunit 9,29096,18760,No,5.35,0.102683,0.183260
Mtatp8,NA,P03930,ATP8_MOUSE,ATP synthase protein 8,39779,26541,No,5.50,0.103316,0.184178
Cenpe,CENPE,Q6RT24,CENPE_MOUSE,Centromere-associated protein E,272170,283618,No,6.53,0.103621,0.184395
Nipsnap1,NIPSNAP1,O55125,NIPS1_MOUSE,Protein NipSnap homolog 1,27819,21217,No,5.33,0.103677,0.184395
Myo1c,MYO1C,Q9WTI7,MYO1C_MOUSE,Unconventional myosin-Ic,42658,84246,No,-0.95,0.105377,0.187141
Atp5f1a,NA,Q03265,ATPA_MOUSE,"ATP synthase subunit alpha, mitochondrial",574523,301382,No,1.12,0.105489,0.187141
Camk2b,CAMK2B,P28652,KCC2B_MOUSE,Calcium/calmodulin-dependent protein kinase type II subunit beta,38387,19730,No,1.16,0.105585,0.187141
Faf2,FAF2,Q3TDN2,FAF2_MOUSE,FAS-associated factor 2,16225,6079,No,7.40,0.105961,0.187590
Sod1,SOD1,P00441,SODC_HUMAN,Superoxide dismutase [Cu-Zn],17132,17286,No,5.09,0.106459,0.188256
Fh,NA,P97807,FUMH_MOUSE,"Fumarate hydratase, mitochondrial",32692,16777,No,1.06,0.106634,0.188351
Idh3g,IDH3G,P70404,IDHG1_MOUSE,"Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial",34490,22874,No,5.37,0.107186,0.189109
