Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein description,LPS avg abundance,PBS avg abundance,Differentially Expressed?,logFC (LPS_vs_PBS),P.Value (LPS_vs_PBS),adj.P.Value (LPS_vs_PBS)
Swap70,SWAP70,Q6A028,SWP70_MOUSE,Switch-associated protein 70,9013,9576,No,-0.04,0.890736,0.999933
Syap1,SYAP1,Q9D5V6,SYAP1_MOUSE,Synapse-associated protein 1,7028,4667,No,0.54,0.112860,0.999933
Sycp1,SYCP1,Q62209,SYCP1_MOUSE,Synaptonemal complex protein 1,9064,7883,No,0.18,0.622893,0.999933
Syn1,SYN1,O88935,SYN1_MOUSE,Synapsin-1,56265,57957,No,-0.01,0.976011,0.999933
Syn2,SYN2,Q64332,SYN2_MOUSE,Synapsin-2,24648,26324,No,-0.02,0.938482,0.999933
Syn3,SYN3,Q8JZP2,SYN3_MOUSE,Synapsin-3,10263,8556,No,0.30,0.255917,0.999933
Syncrip,SYNCRIP,Q7TMK9,HNRPQ_MOUSE,Heterogeneous nuclear ribonucleoprotein Q,15067,14956,No,0.03,0.928897,0.999933
Syne1,SYNE1,Q6ZWR6,SYNE1_MOUSE,Nesprin-1,6402,5955,No,0.13,0.604947,0.999933
Syngap1,SYNGAP1,F6SEU4,SYGP1_MOUSE,Ras/Rap GTPase-activating protein SynGAP,19136,17856,No,0.13,0.605571,0.999933
Syngr1,SYNGR1,O55100,SNG1_MOUSE,Synaptogyrin-1,154974,167029,No,-0.18,0.637793,0.999933
Syngr3,SYNGR3,Q8R191,SNG3_MOUSE,Synaptogyrin-3,238266,279671,No,-0.24,0.561129,0.999933
Synj1,SYNJ1,Q8CHC4,SYNJ1_MOUSE,Synaptojanin-1,55685,52866,No,0.11,0.681157,0.999933
Synpo,SYNPO,Q8CC35,SYNPO_MOUSE,Synaptopodin,35454,36457,No,0.01,0.977763,0.999933
Synpo2,SYNPO2,Q91YE8,SYNP2_MOUSE,Synaptopodin-2,6355,6346,No,0.06,0.873078,0.999933
Synpr,SYNPR,Q8BGN8,SYNPR_MOUSE,Synaptoporin,12806,14450,No,-0.21,0.393341,0.999933
Synrg,SYNRG,Q5SV85,SYNRG_MOUSE,Synergin gamma,14928,15384,No,-0.02,0.935436,0.999933
Syp,SYP,Q62277,SYPH_MOUSE,Synaptophysin,143648,184438,No,-0.35,0.150473,0.999933
Sypl1,NA,O09117,SYPL1_MOUSE,Synaptophysin-like protein 1,41692,43845,No,-0.02,0.937179,0.999933
Syt1,SYT1,P46096,SYT1_MOUSE,Synaptotagmin-1,149105,146981,No,0.04,0.888048,0.999933
Syt11,SYT11,Q9R0N3,SYT11_MOUSE,Synaptotagmin-11,9720,10573,No,-0.10,0.730340,0.999933
Syt12,SYT12,Q920N7,SYT12_MOUSE,Synaptotagmin-12,4456,5768,No,-0.36,0.246906,0.999933
Syt2,SYT2,P46097,SYT2_MOUSE,Synaptotagmin-2,11098,11270,No,-0.01,0.976637,0.999933
Syt5,SYT5,Q9R0N5,SYT5_MOUSE,Synaptotagmin-5,70894,66536,No,0.09,0.678906,0.999933
Syt7,SYT7,Q9R0N7,SYT7_MOUSE,Synaptotagmin-7,17536,14157,No,0.42,0.176556,0.999933
Syvn1,SYVN1,Q9DBY1,SYVN1_MOUSE,E3 ubiquitin-protein ligase synoviolin,3974,3940,No,0.11,0.776543,0.999933
Tab1,TAB1,Q8CF89,TAB1_MOUSE,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,73826,96517,No,-0.07,0.950027,0.999933
Tacc1,TACC1,Q6Y685,TACC1_MOUSE,Transforming acidic coiled-coil-containing protein 1,9441,8157,No,0.16,0.569854,0.999933
Tacc2,TACC2,Q9JJG0,TACC2_MOUSE,Transforming acidic coiled-coil-containing protein 2,17077,13876,No,0.41,0.357251,0.999933
Tagln3,TAGLN3,Q9R1Q8,TAGL3_MOUSE,Transgelin-3,10652,10680,No,0.07,0.870556,0.999933
Taldo1,TALDO1,Q93092,TALDO_MOUSE,Transaldolase,9685,5594,No,0.75,0.097707,0.999933
Talpid3,NA,E9PV87,TALD3_MOUSE,Protein TALPID3,9517,8886,No,0.08,0.807562,0.999933
Tanc2,TANC2,A2A690,TANC2_MOUSE,Protein TANC2,11453,10851,No,0.05,0.845811,0.999933
Tank,TANK,P70347,TANK_MOUSE,TRAF family member-associated NF-kappa-B activator,11131,12222,No,-0.15,0.536809,0.999933
Tap1,TAP1,P21958,TAP1_MOUSE,Antigen peptide transporter 1,6014,6301,No,-0.10,0.788220,0.999933
Tap2,TAP2,P36371,TAP2_MOUSE,Antigen peptide transporter 2,11941,9233,No,0.30,0.336039,0.999933
Tapbp,TAPBP,Q9R233,TPSN_MOUSE,Tapasin,11773,10490,No,0.23,0.567904,0.999933
Tapt1,TAPT1,Q4VBD2,TAPT1_MOUSE,Transmembrane anterior posterior transformation protein 1,38551,33844,No,0.21,0.329347,0.999933
Tardbp,TARDBP,Q921F2,TADBP_MOUSE,TAR DNA-binding protein 43,6617,6086,No,0.18,0.586521,0.999933
Tbc1d10a,TBC1D10A,P58802,TB10A_MOUSE,TBC1 domain family member 10A,5155,11633,No,-0.79,0.090058,0.999933
Tbc1d10b,TBC1D10B,Q8BHL3,TB10B_MOUSE,TBC1 domain family member 10B,12310,10294,No,0.32,0.253866,0.999933
Tbc1d24,TBC1D24,Q3UUG6,TBC24_MOUSE,TBC1 domain family member 24,15027,14246,No,0.06,0.800472,0.999933
Tbc1d5,TBC1D5,Q80XQ2,TBCD5_MOUSE,TBC1 domain family member 5,6716,7266,No,-0.08,0.791191,0.999933
Tbc1d9b,TBC1D9B,Q5SVR0,TBC9B_MOUSE,TBC1 domain family member 9B,5358,3788,No,0.49,0.105973,0.999933
Tbrg4,TBRG4,Q91YM4,FAKD4_MOUSE,FAST kinase domain-containing protein 4,16005,17282,No,-0.11,0.645554,0.999933
Tcof1,TCOF1,O08784,TCOF_MOUSE,Treacle protein,4503,2500,Up with LPS,0.83,0.016869,0.999933
Tcp1,TCP1,P11983,TCPA_MOUSE,T-complex protein 1 subunit alpha,40181,36362,No,0.12,0.619298,0.999933
Tdrkh,TDRKH,Q80VL1,TDRKH_MOUSE,Tudor and KH domain-containing protein,5155,5941,No,-0.16,0.605321,0.999933
Tecpr1,TECPR1,Q80VP0,TCPR1_MOUSE,Tectonin beta-propeller repeat-containing protein 1,30086,28619,No,0.08,0.708951,0.999933
Tecr,TECR,Q9CY27,TECR_MOUSE,Very-long-chain enoyl-CoA reductase,128605,117975,No,0.12,0.581836,0.999933
Tenm1,TENM1,Q9WTS4,TEN1_MOUSE,Teneurin-1,5298,4613,No,0.25,0.459142,0.999933
Tenm2,TENM2,Q9WTS5,TEN2_MOUSE,Teneurin-2,7358,8287,No,-0.19,0.414316,0.999933
Tenm3,TENM3,Q9WTS6,TEN3_MOUSE,Teneurin-3,9065,8174,No,0.15,0.564228,0.999933
Tenm4,TENM4,Q3UHK6,TEN4_MOUSE,Teneurin-4,16547,18724,No,-0.26,0.370325,0.999933
Tex2,TEX2,Q6ZPJ0,TEX2_MOUSE,Testis-expressed protein 2,15426,13949,No,0.15,0.465498,0.999933
Tf,NA,P02787,TRFE_HUMAN,Serotransferrin,12438,14166,No,-0.35,0.567260,0.999933
Tfrc,TFRC,Q62351,TFR1_MOUSE,Transferrin receptor protein 1,23399,19012,No,0.35,0.195279,0.999933
Tgm1,TGM1,Q9JLF6,TGM1_MOUSE,Protein-glutamine gamma-glutamyltransferase K,20412,21550,No,0.12,0.803809,0.999933
Tgm2,TGM2,P21981,TGM2_MOUSE,Protein-glutamine gamma-glutamyltransferase 2,10070,7989,No,0.39,0.242066,0.999933
Tgm3,TGM3,Q08189,TGM3_MOUSE,Protein-glutamine gamma-glutamyltransferase E,5045,8629,No,-0.89,0.068187,0.999933
Tgoln1,TGOLN2,Q62313,TGON1_MOUSE,Trans-Golgi network integral membrane protein 1,16692,15484,No,0.09,0.764574,0.999933
Them4,THEM4,Q3UUI3,THEM4_MOUSE,Acyl-coenzyme A thioesterase THEM4,46382,46890,No,-0.05,0.863193,0.999933
Them6,THEM6,Q80ZW2,THEM6_MOUSE,Protein THEM6,18159,17112,No,0.08,0.798380,0.999933
Thsd7a,THSD7A,Q69ZU6,THS7A_MOUSE,Thrombospondin type-1 domain-containing protein 7A,16468,19898,No,-0.23,0.628594,0.999933
Thy1,THY1,P01831,THY1_MOUSE,Thy-1 membrane glycoprotein,65343,102775,No,-0.63,0.136679,0.999933
Timm22,TIMM22,Q9CQ85,TIM22_MOUSE,Mitochondrial import inner membrane translocase subunit Tim22,33902,29706,No,0.19,0.525274,0.999933
Timm23,TIMM23,Q9WTQ8,TIM23_MOUSE,Mitochondrial import inner membrane translocase subunit Tim23,7075,8582,No,-0.26,0.428836,0.999933
Timm29,TIMM29,Q8BGX2,TIM29_MOUSE,Mitochondrial import inner membrane translocase subunit Tim29,6105,6548,No,-0.07,0.789413,0.999933
Timm44,TIMM44,O35857,TIM44_MOUSE,Mitochondrial import inner membrane translocase subunit TIM44,41209,47474,No,-0.16,0.536789,0.999933
Timm50,TIMM50,Q9D880,TIM50_MOUSE,Mitochondrial import inner membrane translocase subunit TIM50,7055,7467,No,-0.05,0.904508,0.999933
Timm9,TIMM9,Q9WV98,TIM9_MOUSE,Mitochondrial import inner membrane translocase subunit Tim9,15302,16324,No,-0.02,0.947608,0.999933
Timmdc1,TIMMDC1,Q8BUY5,TIDC1_MOUSE,"Complex I assembly factor TIMMDC1, mitochondrial",8632,7714,No,0.26,0.385553,0.999933
Tiprl,TIPRL,Q8BH58,TIPRL_MOUSE,TIP41-like protein,5727,8822,No,-0.67,0.100055,0.999933
Tjp1,TJP1,P39447,ZO1_MOUSE,Tight junction protein ZO-1,109051,93314,No,0.26,0.325230,0.999933
Tjp2,TJP2,Q9Z0U1,ZO2_MOUSE,Tight junction protein ZO-2,52695,47480,No,0.13,0.648606,0.999933
Tkt,TKT,P40142,TKT_MOUSE,Transketolase,93100,82713,No,0.20,0.499738,0.999933
Tktl1,TKTL1,Q99MX0,TKTL1_MOUSE,Transketolase-like protein 1,31379,22283,No,0.54,0.159308,0.999933
Tln1,TLN1,P26039,TLN1_MOUSE,Talin-1,22153,20159,No,0.14,0.533159,0.999933
Tln2,TLN2,Q71LX4,TLN2_MOUSE,Talin-2,15159,13155,No,0.20,0.371449,0.999933
Tm7sf2,TM7SF2,Q71KT5,ERG24_MOUSE,Delta(14)-sterol reductase TM7SF2,5241,3658,No,0.60,0.181736,0.999933
Tm9sf2,TM9SF2,P58021,TM9S2_MOUSE,Transmembrane 9 superfamily member 2,51371,42509,No,0.32,0.234835,0.999933
Tm9sf3,TM9SF3,Q9ET30,TM9S3_MOUSE,Transmembrane 9 superfamily member 3,26955,24621,No,0.19,0.456916,0.999933
Tm9sf4,TM9SF4,Q8BH24,TM9S4_MOUSE,Transmembrane 9 superfamily member 4,20745,17872,No,0.25,0.293602,0.999933
Tmbim6,TMBIM6,Q9D2C7,BI1_MOUSE,Bax inhibitor 1,4052,3825,No,0.08,0.848557,0.999933
Tmco1,TMCO1,Q921L3,TMCO1_MOUSE,Calcium load-activated calcium channel,13399,19012,No,-0.39,0.307741,0.999933
Tmed10,TMED10,Q9D1D4,TMEDA_MOUSE,Transmembrane emp24 domain-containing protein 10,14524,14555,No,-0.04,0.879565,0.999933
Tmem106b,TMEM106B,Q80X71,T106B_MOUSE,Transmembrane protein 106B,7494,6909,No,0.13,0.683298,0.999933
Tmem11,TMEM11,Q8BK08,TMM11_MOUSE,"Transmembrane protein 11, mitochondrial",13584,14167,No,-0.06,0.816791,0.999933
Tmem115,TMEM115,Q9WUH1,TM115_MOUSE,Transmembrane protein 115,8706,7597,No,0.32,0.374976,0.999933
Tmem121b,TMEM121B,Q99MX7,T121B_MOUSE,Transmembrane protein 121B,16968,14807,No,0.20,0.393831,0.999933
Tmem126a,TMEM126A,Q9D8Y1,T126A_MOUSE,Transmembrane protein 126A,4258,4726,No,0.19,0.715371,0.999933
Tmem126b,TMEM126B,Q9D1R1,T126B_MOUSE,"Complex I assembly factor TMEM126B, mitochondrial",9482,10667,No,-0.31,0.542694,0.999933
Tmem132a,TMEM132A,Q922P8,T132A_MOUSE,Transmembrane protein 132A,9468,7383,No,0.43,0.196885,0.999933
Tmem132e,TMEM132E,Q6IEE6,T132E_MOUSE,Transmembrane protein 132E,7533,7986,No,-0.18,0.601842,0.999933
Tmem135,TMEM135,Q9CYV5,TM135_MOUSE,Transmembrane protein 135,12689,11483,No,0.08,0.752427,0.999933
Tmem143,TMEM143,Q8VD26,TM143_MOUSE,Transmembrane protein 143,7193,6130,No,0.31,0.334048,0.999933
Tmem160,TMEM160,Q9D938,TM160_MOUSE,Transmembrane protein 160,24762,28254,No,-0.16,0.531865,0.999933
Tmem161b,TMEM161B,Q8C2L6,T161B_MOUSE,Transmembrane protein 161B,6809,6399,No,0.13,0.666327,0.999933
Tmem163,TMEM163,Q8C996,TM163_MOUSE,Transmembrane protein 163,17618,18073,No,0.06,0.855762,0.999933
Tmem165,TMEM165,P52875,TM165_MOUSE,Transmembrane protein 165,17478,19242,No,-0.25,0.487727,0.999933
Tmem167a,NA,Q9CR64,KISHA_MOUSE,Protein kish-A,3623,4651,No,-0.33,0.314484,0.999933
Tmem175,TMEM175,Q9CXY1,TM175_MOUSE,Endosomal/lysosomal potassium channel TMEM175,7989,6903,No,0.19,0.500609,0.999933
Tmem177,TMEM177,Q8BPE4,TM177_MOUSE,Transmembrane protein 177,21802,18617,No,0.24,0.349935,0.999933
Tmem178a,NA,Q9CZ16,T178A_MOUSE,Transmembrane protein 178A,8337,9091,No,-0.06,0.860051,0.999933
Tmem186,TMEM186,Q9CR76,TM186_MOUSE,Transmembrane protein 186,5279,3897,No,0.35,0.436882,0.999933
Tmem19,TMEM19,Q91W52,TMM19_MOUSE,Transmembrane protein 19,11487,11024,No,0.11,0.734750,0.999933
Tmem205,TMEM205,Q91XE8,TM205_MOUSE,Transmembrane protein 205,6359,5060,No,0.26,0.405153,0.999933
Tmem209,TMEM209,Q8BRG8,TM209_MOUSE,Transmembrane protein 209,3697,4665,No,-0.39,0.389318,0.999933
Tmem222,TMEM222,Q8BVA2,TM222_MOUSE,Transmembrane protein 222,9961,11026,No,-0.18,0.607011,0.999933
Tmem223,NA,Q9CQE2,TM223_MOUSE,Transmembrane protein 223,4843,6435,No,-0.48,0.192227,0.999933
Tmem229a,TMEM229A,B9EJI9,T229A_MOUSE,Transmembrane protein 229A,10754,9703,No,0.12,0.585150,0.999933
Tmem245,TMEM245,B1AZA5,TM245_MOUSE,Transmembrane protein 245,16361,16695,No,-0.02,0.915862,0.999933
Tmem256,TMEM256,Q5F285,TM256_MOUSE,Transmembrane protein 256,12340,11548,No,0.07,0.828734,0.999933
Tmem263,TMEM263,Q9DAM7,TM263_MOUSE,Transmembrane protein 263,56015,90724,No,-0.49,0.216657,0.999933
Tmem30a,TMEM30A,Q8VEK0,CC50A_MOUSE,Cell cycle control protein 50A,13034,14698,No,-0.24,0.427804,0.999933
Tmem33,TMEM33,Q9CR67,TMM33_MOUSE,Transmembrane protein 33,42944,40580,No,0.13,0.667480,0.999933
Tmem35a,TMEM35A,Q9D328,NACHO_MOUSE,Novel acetylcholine receptor chaperone,7983,10195,No,-0.28,0.527322,0.999933
Tmem41a,TMEM41A,Q9D8U2,TM41A_MOUSE,Transmembrane protein 41A,6176,6459,No,-0.09,0.775783,0.999933
Tmem41b,TMEM41B,Q8K1A5,TM41B_MOUSE,Transmembrane protein 41B,17362,17787,No,-0.11,0.747881,0.999933
Tmem43,TMEM43,Q9DBS1,TMM43_MOUSE,Transmembrane protein 43,11214,11249,No,0.01,0.956645,0.999933
Tmem62,TMEM62,Q8BXJ9,TMM62_MOUSE,Transmembrane protein 62,5383,5865,No,-0.19,0.454550,0.999933
Tmem63b,TMEM63B,Q3TWI9,CSCL2_MOUSE,CSC1-like protein 2,14249,12237,No,0.25,0.391772,0.999933
Tmem65,TMEM65,Q4VAE3,TMM65_MOUSE,Transmembrane protein 65,34629,35838,No,-0.08,0.795447,0.999933
Tmem68,TMEM68,Q9D850,TMM68_MOUSE,Transmembrane protein 68,8121,8411,No,-0.05,0.840836,0.999933
Tmem87a,TMEM87A,Q8BXN9,TM87A_MOUSE,Transmembrane protein 87A,7707,7493,No,0.03,0.924413,0.999933
Tmem87b,TMEM87B,Q8BKU8,TM87B_MOUSE,Transmembrane protein 87B,2622,3472,No,-0.37,0.299914,0.999933
Tmem94,TMEM94,Q7TSH8,TMM94_MOUSE,Transmembrane protein 94,9580,9561,No,0.01,0.959381,0.999933
Tmod2,TMOD2,Q9JKK7,TMOD2_MOUSE,Tropomodulin-2,21217,15984,No,0.40,0.122537,0.999933
Tmpo,TMPO,Q61029,LAP2B_MOUSE,"Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma",6832,7030,No,-0.03,0.880844,0.999933
Tmx1,TMX1,Q8VBT0,TMX1_MOUSE,Thioredoxin-related transmembrane protein 1,9877,9473,No,0.08,0.716707,0.999933
Tmx2,TMX2,Q9D710,TMX2_MOUSE,Thioredoxin-related transmembrane protein 2,76571,73795,No,0.04,0.871207,0.999933
Tmx3,TMX3,Q8BXZ1,TMX3_MOUSE,Protein disulfide-isomerase TMX3,8091,7781,No,0.10,0.699118,0.999933
Tmx4,TMX4,Q8C0L0,TMX4_MOUSE,Thioredoxin-related transmembrane protein 4,26163,23080,No,0.19,0.432229,0.999933
Tnik,TNIK,P83510,TNIK_MOUSE,Traf2 and NCK-interacting protein kinase,16289,15423,No,0.10,0.650933,0.999933
Tnks1bp1,TNKS1BP1,P58871,TB182_MOUSE,182 kDa tankyrase-1-binding protein,17167,16417,No,0.09,0.738443,0.999933
Tnpo1,TNPO1,Q8BFY9,TNPO1_MOUSE,Transportin-1,4115,4553,No,-0.19,0.440066,0.999933
Tnr,TNR,Q8BYI9,TENR_MOUSE,Tenascin-R,64501,47043,No,0.45,0.158050,0.999933
Tnrc6a,TNRC6A,Q3UHK8,TNR6A_MOUSE,Trinucleotide repeat-containing gene 6A protein,8603,8018,No,0.09,0.757353,0.999933
Tnrc6b,TNRC6B,Q8BKI2,TNR6B_MOUSE,Trinucleotide repeat-containing gene 6B protein,9073,7435,No,0.27,0.316473,0.999933
Tns2,TNS2,Q8CGB6,TNS2_MOUSE,Tensin-2,6939,6746,No,0.06,0.861152,0.999933
Tns3,TNS3,Q5SSZ5,TENS3_MOUSE,Tensin-3,14844,13346,No,0.18,0.406330,0.999933
Tollip,TOLLIP,Q9QZ06,TOLIP_MOUSE,Toll-interacting protein,7220,5726,No,0.29,0.302542,0.999933
Tom1,TOM1,O88746,TOM1_MOUSE,Target of Myb protein 1,9217,8012,No,0.24,0.360831,0.999933
Tom1l2,TOM1L2,Q5SRX1,TM1L2_MOUSE,TOM1-like protein 2,39480,40156,No,-0.02,0.917349,0.999933
Tomm20,TOMM20,Q9DCC8,TOM20_MOUSE,Mitochondrial import receptor subunit TOM20 homolog,19370,20054,No,-0.07,0.784258,0.999933
Tomm22,TOMM22,Q9CPQ3,TOM22_MOUSE,Mitochondrial import receptor subunit TOM22 homolog,2881,4078,No,-0.44,0.271522,0.999933
Tomm40,TOMM40,Q9QYA2,TOM40_MOUSE,Mitochondrial import receptor subunit TOM40 homolog,13005,12123,No,0.19,0.624331,0.999933
Tomm40l,TOMM40L,Q9CZR3,TM40L_MOUSE,Mitochondrial import receptor subunit TOM40B,25563,22507,No,0.19,0.493866,0.999933
Tomm70,NA,Q9CZW5,TOM70_MOUSE,Mitochondrial import receptor subunit TOM70,9119,17185,No,-0.73,0.097682,0.999933
Top1,TOP1,Q04750,TOP1_MOUSE,DNA topoisomerase 1,6868,10558,No,-0.47,0.245989,0.999933
Top3b,TOP3B,Q9Z321,TOP3B_MOUSE,DNA topoisomerase 3-beta-1,4721,5518,No,-0.24,0.507720,0.999933
Tp53bp2,NA,Q8CG79,ASPP2_MOUSE,Apoptosis-stimulating of p53 protein 2,9800,15703,No,-0.55,0.108597,0.999933
Tpd52l2,TPD52L2,Q9CYZ2,TPD54_MOUSE,Tumor protein D54,11078,9875,No,0.27,0.341012,0.999933
Tpi1,TPI1,P17751,TPIS_MOUSE,Triosephosphate isomerase,25397,30117,No,-0.12,0.795603,0.999933
Tpm3,TPM3,P21107,TPM3_MOUSE,Tropomyosin alpha-3 chain,69462,66686,No,-0.01,0.979585,0.999933
Tpp2,TPP2,Q64514,TPP2_MOUSE,Tripeptidyl-peptidase 2,12844,9808,No,0.34,0.312289,0.999933
Tppp,TPPP,Q7TQD2,TPPP_MOUSE,Tubulin polymerization-promoting protein,30047,35453,No,-0.08,0.830815,0.999933
Tprg1l,NA,Q9DBS2,TPRGL_MOUSE,Tumor protein p63-regulated gene 1-like protein,11995,10156,No,0.30,0.336189,0.999933
Tra2b,TRA2B,P62996,TRA2B_MOUSE,Transformer-2 protein homolog beta,8909,8451,No,0.07,0.795891,0.999933
Trak1,TRAK1,Q6PD31,TRAK1_MOUSE,Trafficking kinesin-binding protein 1,16479,19428,No,-0.04,0.934209,0.999933
Trap1,TRAP1,Q9CQN1,TRAP1_MOUSE,"Heat shock protein 75 kDa, mitochondrial",70116,70438,No,0.11,0.784338,0.999933
Trappc1,TRAPPC1,Q5NCF2,TPPC1_MOUSE,Trafficking protein particle complex subunit 1,6205,5660,No,0.15,0.731119,0.999933
Trappc10,TRAPPC10,Q3TLI0,TPC10_MOUSE,Trafficking protein particle complex subunit 10,10825,10778,No,0.01,0.976923,0.999933
Trappc11,TRAPPC11,B2RXC1,TPC11_MOUSE,Trafficking protein particle complex subunit 11,8662,7568,No,0.19,0.386890,0.999933
Trappc12,TRAPPC12,Q8K2L8,TPC12_MOUSE,Trafficking protein particle complex subunit 12,7587,6883,No,0.15,0.671337,0.999933
Trappc2l,TRAPPC2L,Q9JME7,TPC2L_MOUSE,Trafficking protein particle complex subunit 2-like protein,9989,10715,No,0.11,0.830947,0.999933
Trappc4,TRAPPC4,Q9ES56,TPPC4_MOUSE,Trafficking protein particle complex subunit 4,8346,8068,No,0.08,0.792387,0.999933
Trappc9,TRAPPC9,Q3U0M1,TPPC9_MOUSE,Trafficking protein particle complex subunit 9,28320,24693,No,0.19,0.373459,0.999933
Trhde,TRHDE,Q8K093,TRHDE_MOUSE,Thyrotropin-releasing hormone-degrading ectoenzyme,12298,10156,No,0.34,0.263900,0.999933
Trim2,TRIM2,Q9ESN6,TRIM2_MOUSE,Tripartite motif-containing protein 2,6538,9610,No,-0.25,0.561708,0.999933
Trim3,TRIM3,Q9R1R2,TRIM3_MOUSE,Tripartite motif-containing protein 3,5248,5719,No,-0.21,0.576919,0.999933
Trim56,TRIM56,Q80VI1,TRI56_MOUSE,E3 ubiquitin-protein ligase TRIM56,5813,7039,No,-0.31,0.330250,0.999933
Trim9,TRIM9,Q8C7M3,TRIM9_MOUSE,E3 ubiquitin-protein ligase TRIM9,18558,14001,No,0.54,0.120957,0.999933
Trio,TRIO,Q0KL02,TRIO_MOUSE,Triple functional domain protein,5744,5199,No,0.16,0.555232,0.999933
Trp53i11,TP53I11,Q4QQM4,P5I11_MOUSE,Tumor protein p53-inducible protein 11,105133,98919,No,0.06,0.832533,0.999933
Trpm1,TRPM1,Q2TV84,TRPM1_MOUSE,Transient receptor potential cation channel subfamily M member 1,11954,7767,Up with LPS,0.63,0.021242,0.999933
Trpv2,TRPV2,Q9WTR1,TRPV2_MOUSE,Transient receptor potential cation channel subfamily V member 2,13344,12143,No,0.16,0.515104,0.999933
Tsc2,TSC2,Q61037,TSC2_MOUSE,Tuberin,6012,5123,No,0.20,0.474379,0.999933
Tsc22d4,TSC22D4,Q9EQN3,T22D4_MOUSE,TSC22 domain family protein 4,114207,97934,No,0.22,0.584702,0.999933
Tspan15,TSPAN15,F7BWT7,TSN15_MOUSE,Tetraspanin-15,3942,5450,No,-0.54,0.236489,0.999933
Tspan2,TSPAN2,Q922J6,TSN2_MOUSE,Tetraspanin-2,98259,116256,No,0.03,0.949098,0.999933
Tspan7,TSPAN7,Q62283,TSN7_MOUSE,Tetraspanin-7,5776,8716,No,-0.61,0.126241,0.999933
Tst,TST,P52196,THTR_MOUSE,Thiosulfate sulfurtransferase,6537,6332,No,0.12,0.758596,0.999933
Ttc1,TTC1,Q91Z38,TTC1_MOUSE,Tetratricopeptide repeat protein 1,6710,6709,No,0.07,0.839268,0.999933
Ttc7b,TTC7B,E9Q6P5,TTC7B_MOUSE,Tetratricopeptide repeat protein 7B,17485,15174,No,0.16,0.560047,0.999933
Ttyh1,TTYH1,Q9D3A9,TTYH1_MOUSE,Protein tweety homolog 1,23967,30594,No,-0.41,0.339120,0.999933
Ttyh3,TTYH3,Q6P5F7,TTYH3_MOUSE,Protein tweety homolog 3,9465,11292,No,-0.18,0.564902,0.999933
Tuba1a,TUBA1A,P68369,TBA1A_MOUSE,Tubulin alpha-1A chain,232422,245188,No,-0.03,0.932209,0.999933
Tuba4a,TUBA4A,P68368,TBA4A_MOUSE,Tubulin alpha-4A chain,275240,295086,No,-0.06,0.857701,0.999933
Tubb2a,TUBB2A,Q7TMM9,TBB2A_MOUSE,Tubulin beta-2A chain,83795,95110,No,-0.23,0.562448,0.999933
Tubb2b,TUBB2B,Q9CWF2,TBB2B_MOUSE,Tubulin beta-2B chain,7105,11111,No,-0.56,0.188894,0.999933
Tubb3,TUBB3,Q9ERD7,TBB3_MOUSE,Tubulin beta-3 chain,88191,94114,No,-0.15,0.609620,0.999933
Tubb4a,TUBB4A,Q9D6F9,TBB4A_MOUSE,Tubulin beta-4A chain,29870,40580,No,-0.44,0.240425,0.999933
Tubb4b,TUBB4B,P68372,TBB4B_MOUSE,Tubulin beta-4B chain,244490,316732,No,-0.30,0.353083,0.999933
Tubb5,TUBB,P99024,TBB5_MOUSE,Tubulin beta-5 chain,57716,56971,No,-0.03,0.926477,0.999933
Tubb6,TUBB6,Q922F4,TBB6_MOUSE,Tubulin beta-6 chain,18058,19914,No,-0.10,0.816905,0.999933
Tufm,TUFM,Q8BFR5,EFTU_MOUSE,"Elongation factor Tu, mitochondrial",98038,99960,No,-0.03,0.902899,0.999933
Tusc3,TUSC3,Q8BTV1,TUSC3_MOUSE,Tumor suppressor candidate 3,11113,9752,No,0.24,0.445870,0.999933
Twf1,TWF1,Q91YR1,TWF1_MOUSE,Twinfilin-1,22855,18951,No,0.29,0.209589,0.999933
Twf2,TWF2,Q9Z0P5,TWF2_MOUSE,Twinfilin-2,6549,8399,No,-0.28,0.444558,0.999933
Txn,NA,P10599,THIO_HUMAN,Thioredoxin,139634,141171,No,0.00,0.997561,0.999933
Txnl1,TXNL1,Q8CDN6,TXNL1_MOUSE,Thioredoxin-like protein 1,14491,15493,No,-0.07,0.774850,0.999933
Txnrd2,TXNRD2,Q9JLT4,TRXR2_MOUSE,"Thioredoxin reductase 2, mitochondrial",8416,9132,No,-0.06,0.845903,0.999933
U2af2,U2AF2,P26369,U2AF2_MOUSE,Splicing factor U2AF 65 kDa subunit,6208,4197,No,0.57,0.169585,0.999933
U2surp,U2SURP,Q6NV83,SR140_MOUSE,U2 snRNP-associated SURP motif-containing protein,10529,10083,No,0.09,0.712364,0.999933
Uba1,UBA1,Q02053,UBA1_MOUSE,Ubiquitin-like modifier-activating enzyme 1,11296,14389,No,-0.16,0.692366,0.999933
Ubac2,UBAC2,Q8R1K1,UBAC2_MOUSE,Ubiquitin-associated domain-containing protein 2,26000,24362,No,0.14,0.584663,0.999933
Ubap2l,UBAP2L,Q80X50,UBP2L_MOUSE,Ubiquitin-associated protein 2-like,7529,6584,No,0.14,0.630544,0.999933
